NER,2001,8.198279224636742,1
SDN,2001,0.7969263752377768,2
BWA,2001,0.315354832418827,3
BFA,2001,0.2765916392463103,4
ERI,2001,0.18094271481356808,5
GMB,2001,0.16001197963792357,6
SEN,2001,0.0903336426863233,7
SOM,2001,0.051140784566985495,8
PAK,2001,0.032443822296210734,9
NAM,2001,0.025293903761086,10
BFA,2002,3.8232211594248913,1
NER,2002,1.820396311950098,2
BWA,2002,1.8128690369753209,3
SDN,2002,0.2819907971358024,4
NAM,2002,0.09777605771166877,5
SOM,2002,0.06916201517340274,6
SEN,2002,0.038780031018371366,7
PAK,2002,0.0217537641263461,8
GMB,2002,0.013138894374201725,9
TCD,2002,0.009018860345087842,10
BFA,2003,8.071101479846554,1
NER,2003,5.482488981946776,2
BWA,2003,4.8202475951248145,3
SDN,2003,1.1769121282919068,4
MRT,2003,0.3151226776640611,5
SEN,2003,0.1687947320208697,6
SOM,2003,0.16467512698316972,7
TCD,2003,0.09289383160482757,8
NAM,2003,0.05060526458108511,9
GMB,2003,0.049938967737788664,10
NER,2004,16.379215718011228,1
MRT,2004,5.37093917847361,2
BFA,2004,1.9117601509180278,3
SDN,2004,1.6683907685161388,4
BWA,2004,0.8163781010045789,5
NAM,2004,0.17181856456009528,6
SOM,2004,0.08070347355881867,7
SEN,2004,0.05011223253623954,8
TCD,2004,0.039353194654800305,9
BEN,2004,0.015723596135570003,10
MRT,2005,5.356876211461822,1
BFA,2005,0.9729773816309927,2
BWA,2005,0.8423662097604634,3
SDN,2005,0.22338771346076355,4
NAM,2005,0.16417623218007182,5
GMB,2005,0.0951581255546983,6
SEN,2005,0.09022543695725987,7
SOM,2005,0.0638154938729162,8
TCD,2005,0.0372259021150987,9
PAK,2005,0.007459911925000024,10
SDN,2006,5.194293570892056,1
BFA,2006,3.458192811870923,2
BWA,2006,1.0309985737144098,3
NAM,2006,0.619712577469471,4
SEN,2006,0.15738202419048467,5
SOM,2006,0.1464110159485891,6
GMB,2006,0.08382462369154486,7
BDI,2006,0.010302309458839096,8
TCD,2006,0.006072194963592052,9
BEN,2006,0.0060231072587829,10
NER,2007,16.38061284749734,1
BFA,2007,5.735876816738509,2
BWA,2007,1.23216851364787,3
NAM,2007,0.13188652812911023,4
SDN,2007,0.11960342917622993,5
SOM,2007,0.06412762291864549,6
SEN,2007,0.03772734429995778,7
TCD,2007,0.018464277123291403,8
GMB,2007,0.010636468548441661,9
PAK,2007,0.006301121928077133,10
BFA,2008,3.457881950984455,1
BWA,2008,1.586766450904956,2
SDN,2008,0.3987058548685903,3
NAM,2008,0.31517164564054445,4
SOM,2008,0.06935171844179192,5
SEN,2008,0.022780705359485006,6
BEN,2008,0.02231147581821872,7
PAK,2008,0.006702227430376688,8
TCD,2008,0.005246418313654998,9
BGD,2008,0.005049554951193721,10
BFA,2009,3.6301890284004923,1
BWA,2009,1.000412793033817,2
SDN,2009,0.2693971887692211,3
NAM,2009,0.1236989643402798,4
GMB,2009,0.05867882802432866,5
SOM,2009,0.056500543340729605,6
SEN,2009,0.04024511396153469,7
TCD,2009,0.01619931161414428,8
PAK,2009,0.007679079203545607,9
LIE,2009,0.006234002959136261,10
BFA,2010,2.364561270273188,1
BWA,2010,1.3553424167341728,2
SDN,2010,0.5217693169242562,3
NAM,2010,0.39163464293741773,4
SOM,2010,0.12425774220942272,5
TCD,2010,0.0708022966510831,6
SEN,2010,0.041910499078769786,7
GMB,2010,0.022143836065325564,8
BEN,2010,0.02025095149281488,9
LIE,2010,0.010467701625823323,10
BWA,2011,1.928497164793067,1
BFA,2011,0.3831257217246988,2
NAM,2011,0.14893779211727487,3
SDN,2011,0.10504738791021462,4
SOM,2011,0.09404549392797039,5
SEN,2011,0.03871845838321046,6
TCD,2011,0.02956971164449517,7
IRQ,2011,0.025743620339102796,8
GMB,2011,0.017340218515646266,9
BEN,2011,0.01641472897277311,10
NER,2012,16.44836340164508,1
BFA,2012,15.537428754335885,2
BWA,2012,2.6182092932645675,3
SDN,2012,1.6297961220210293,4
NAM,2012,0.4088102826696961,5
SOM,2012,0.08903073769498865,6
SEN,2012,0.054148823911488314,7
PAK,2012,0.02286543696057617,8
GMB,2012,0.01296464666278158,9
TCD,2012,0.0110488515679632,10
BFA,2013,25.913554877208764,1
NAM,2013,4.517969281161328,2
BWA,2013,2.926962857377905,3
SDN,2013,2.2884813974880003,4
PAK,2013,0.09087036503431341,5
SOM,2013,0.05493930363775745,6
GMB,2013,0.04318131520217137,7
IRQ,2013,0.033453110966189144,8
SEN,2013,0.01217026292555108,9
EGY,2013,0.009434615025172644,10
SDN,2014,3.8312593232371555,1
NAM,2014,2.715000441778793,2
BWA,2014,2.6620766542349,3
PAK,2014,0.14122382370419886,4
SOM,2014,0.14100852126582267,5
IRQ,2014,0.05668148086355444,6
GMB,2014,0.030208104351529385,7
SEN,2014,0.013847004776389582,8
TCD,2014,0.008936763083585082,9
EGY,2014,0.007957621995796528,10
NAM,2015,47.91583947984151,1
SDN,2015,2.6716312780184794,2
PAK,2015,2.2570268190450955,3
SOM,2015,0.2632369283687938,4
GMB,2015,0.05254082435796979,5
EGY,2015,0.02892098426931189,6
BEN,2015,0.017916623074743832,7
SEN,2015,0.015382265214288444,8
TCD,2015,0.010375452354477042,9
NPL,2015,0.005427902031471754,10
BWA,2016,56.80391870304114,1
NAM,2016,7.996293217396444,2
IRQ,2016,1.008874124723657,3
SDN,2016,0.7874781951008795,4
SOM,2016,0.20088378455271338,5
GMB,2016,0.10206262271217759,6
IRN,2016,0.023386137188994457,7
