CAN,2013,834.4732,total_including_lucf,9
IRN,2013,815.3089,total_including_lucf,10
CHN,2014,11228.48,total_including_lucf,1
USA,2014,5779.535,total_including_lucf,2
IND,2014,2984.517,total_including_lucf,3
IDN,2014,2015.504,total_including_lucf,4
RUS,2014,1621.85,total_including_lucf,5
BRA,2014,1384.988,total_including_lucf,6
JPN,2014,1256.161,total_including_lucf,7
IRN,2014,844.1282,total_including_lucf,8
CAN,2014,842.1357,total_including_lucf,9
DEU,2014,809.9611,total_including_lucf,10
CHN,2015,11108.86,total_including_lucf,1
USA,2015,5665.205,total_including_lucf,2
IND,2015,3003.068,total_including_lucf,3
IDN,2015,2067.751,total_including_lucf,4
RUS,2015,1602.812,total_including_lucf,5
BRA,2015,1366.887,total_including_lucf,6
JPN,2015,1220.732,total_including_lucf,7
CAN,2015,841.2184,total_including_lucf,8
DEU,2015,814.6431,total_including_lucf,9
MEX,2015,681.9395,total_including_lucf,10
CHN,2016,11151.31,total_including_lucf,1
USA,2016,5743.845,total_including_lucf,2
IND,2016,3076.479,total_including_lucf,3
RUS,2016,1733.913,total_including_lucf,4
BRA,2016,1455.859,total_including_lucf,5
IDN,2016,1434.455,total_including_lucf,6
JPN,2016,1229.816,total_including_lucf,7
IRN,2016,881.0451,total_including_lucf,8
DEU,2016,817.4709,total_including_lucf,9
CAN,2016,740.667,total_including_lucf,10
CHN,2017,11385.48,total_including_lucf,1
USA,2017,5689.606,total_including_lucf,2
IND,2017,3215.073,total_including_lucf,3
RUS,2017,1769.685,total_including_lucf,4
BRA,2017,1475.819,total_including_lucf,5
IDN,2017,1447.223,total_including_lucf,6
JPN,2017,1214.585,total_including_lucf,7
IRN,2017,912.769,total_including_lucf,8
DEU,2017,800.2112,total_including_lucf,9
CAN,2017,757.3809,total_including_lucf,10
CHN,2018,11821.66,total_including_lucf,1
USA,2018,5892.367,total_including_lucf,2
IND,2018,3360.561,total_including_lucf,3
RUS,2018,1868.147,total_including_lucf,4
IDN,2018,1692.359,total_including_lucf,5
BRA,2018,1434.514,total_including_lucf,6
JPN,2018,1172.319,total_including_lucf,7
IRN,2018,925.5827,total_including_lucf,8
CAN,2018,776.4994,total_including_lucf,9
DEU,2018,771.4768,total_including_lucf,10
CHN,2019,12055.41,total_including_lucf,1
USA,2019,5771.002,total_including_lucf,2
IND,2019,3363.595,total_including_lucf,3
IDN,2019,1959.714,total_including_lucf,4
RUS,2019,1924.823,total_including_lucf,5
BRA,2019,1451.625,total_including_lucf,6
JPN,2019,1134.454,total_including_lucf,7
IRN,2019,893.7799,total_including_lucf,8
CAN,2019,774.2879,total_including_lucf,9
DEU,2019,720.2297,total_including_lucf,10
